asset,kalshi_ticker,poly_slug,direction,window_start,close_time,combined_cost,cost_a,cost_b,logged_at
BTC,KXBTC15M-26SEP191530-30,btc-updown-15m-1789846200,A,2026-09-19T19:30:00+00:00,2026-09-19T19:30:00Z,0.451,0.451,1.56,2026-09-19T19:30:23.781711+00:00
SOL,KXSOL15M-26SEP191530-30,sol-updown-15m-1789846200,A,2026-09-19T19:30:00+00:00,2026-09-19T19:30:00Z,0.341,0.341,1.64,2026-09-19T19:30:23.781711+00:00
ZEC,KXZEC15M-26SEP191545-45,zec-updown-15m-1789846200,A,2026-09-19T19:30:00+00:00,2026-09-19T19:45:00Z,0.77,0.77,0.88,2026-09-19T19:30:23.781711+00:00
BNB,KXBNB15M-26SEP191545-45,bnb-updown-15m-1789846200,A,2026-09-19T19:30:00+00:00,2026-09-19T19:45:00Z,0.76,0.76,0.9,2026-09-19T19:32:15.123104+00:00
ETH,KXETH15M-26SEP191545-45,eth-updown-15m-1789846200,A,2026-09-19T19:30:00+00:00,2026-09-19T19:45:00Z,0.72,0.72,0.9,2026-09-19T19:34:21.448362+00:00
XRP,KXXRP15M-26SEP191545-45,xrp-updown-15m-1789846200,A,2026-09-19T19:30:00+00:00,2026-09-19T19:45:00Z,0.69,0.69,0.96,2026-09-19T19:34:21.448362+00:00
DOGE,KXDOGE15M-26SEP191545-45,doge-updown-15m-1789846200,A,2026-09-19T19:30:00+00:00,2026-09-19T19:45:00Z,0.68,0.68,0.9,2026-09-19T19:34:21.448362+00:00
HYPE,KXHYPE15M-26SEP191545-45,hype-updown-15m-1789846200,A,2026-09-19T19:30:00+00:00,2026-09-19T19:45:00Z,0.73,0.73,0.88,2026-09-19T19:34:21.448362+00:00
BTC,KXBTC15M-26SEP191545-45,btc-updown-15m-1789846200,B,2026-09-19T19:30:00+00:00,2026-09-19T19:45:00Z,0.74,1.03,0.74,2026-09-19T19:36:20.920000+00:00
SOL,KXSOL15M-26SEP191545-45,sol-updown-15m-1789846200,B,2026-09-19T19:30:00+00:00,2026-09-19T19:45:00Z,0.65,0.97,0.65,2026-09-19T19:38:21.375736+00:00
BTC,KXBTC15M-26SEP191600-00,btc-updown-15m-1789847100,B,2026-09-19T19:45:00+00:00,2026-09-19T20:00:00Z,0.76,0.99,0.76,2026-09-19T19:46:23.348003+00:00
ETH,KXETH15M-26SEP191600-00,eth-updown-15m-1789847100,A,2026-09-19T19:45:00+00:00,2026-09-19T20:00:00Z,0.54,0.54,0.69,2026-09-19T19:46:23.348003+00:00
SOL,KXSOL15M-26SEP191600-00,sol-updown-15m-1789847100,B,2026-09-19T19:45:00+00:00,2026-09-19T20:00:00Z,0.59,0.64,0.59,2026-09-19T19:46:23.348003+00:00
XRP,KXXRP15M-26SEP191600-00,xrp-updown-15m-1789847100,B,2026-09-19T19:45:00+00:00,2026-09-19T20:00:00Z,0.55,0.56,0.55,2026-09-19T19:46:23.348003+00:00
DOGE,KXDOGE15M-26SEP191600-00,doge-updown-15m-1789847100,A,2026-09-19T19:45:00+00:00,2026-09-19T20:00:00Z,0.41,0.41,0.62,2026-09-19T19:46:23.348003+00:00
BNB,KXBNB15M-26SEP191600-00,bnb-updown-15m-1789847100,B,2026-09-19T19:45:00+00:00,2026-09-19T20:00:00Z,0.49,0.55,0.49,2026-09-19T19:46:23.348003+00:00
HYPE,KXHYPE15M-26SEP191600-00,hype-updown-15m-1789847100,A,2026-09-19T19:45:00+00:00,2026-09-19T20:00:00Z,0.54,0.54,0.65,2026-09-19T19:46:23.348003+00:00
ZEC,KXZEC15M-26SEP191600-00,zec-updown-15m-1789847100,A,2026-09-19T19:45:00+00:00,2026-09-19T20:00:00Z,0.39,0.39,0.66,2026-09-19T19:46:23.348003+00:00
